"sp"	"x"	"y"	"Partition"	"PresAbse"
"Bradypus_variegatus"	-73.129639	-3.625062	2	1
"Bradypus_variegatus"	-82.158683	9.273689	2	1
"Bradypus_variegatus"	-76.17119	9.10899	2	1
"Bradypus_variegatus"	-79.176331	-0.253544	2	1
"Bradypus_variegatus"	-79.141302	0.144925	2	1
"Bradypus_variegatus"	-71.391683	-12.789389	2	1
"Bradypus_variegatus"	-77.659332	-1.00079	2	1
"Bradypus_variegatus"	-83.913405	10.173512	2	1
"Bradypus_variegatus"	-84.2059	10.301488	2	1
"Bradypus_variegatus"	-80.110776	8.614592	2	1
"Bradypus_variegatus"	-82.250258	9.272598	2	1
"Bradypus_variegatus"	-83.301003	8.38937	2	1
"Bradypus_variegatus"	-84.785199	10.891567	2	1
"Bradypus_variegatus"	-79.168186	0.108095	2	1
"Bradypus_variegatus"	-69.175056	-12.593091	2	1
"Bradypus_variegatus"	-83.689505	8.693463	2	1
"Bradypus_variegatus"	-39.169761	-16.3876	2	1
"Bradypus_variegatus"	-84.470933	10.517313	2	1
"Bradypus_variegatus"	-82.801638	9.327177	2	1
"Bradypus_variegatus"	-79.647814	8.95044	2	1
"Bradypus_variegatus"	-47.782908	-5.172984	2	1
"Bradypus_variegatus"	-79.413924	9.26179	2	1
"Bradypus_variegatus"	-77.385555	0.010252	2	1
"Bradypus_variegatus"	-76.383508	-0.124434	2	1
"Bradypus_variegatus"	-77.0416666666667	1.625	2	0
"Bradypus_variegatus"	-81.2083333333333	51.5416666666667	2	0
"Bradypus_variegatus"	57.125	31.875	2	0
"Bradypus_variegatus"	28.7083333333333	45.125	2	0
"Bradypus_variegatus"	111.791666666667	22.0416666666667	2	0
"Bradypus_variegatus"	-70.9583333333333	70.125	2	0
"Bradypus_variegatus"	-1.20833333333334	25.125	2	0
"Bradypus_variegatus"	11.5416666666667	28.125	2	0
"Bradypus_variegatus"	-111.041666666667	72.2083333333333	2	0
"Bradypus_variegatus"	172.375	68.2916666666667	2	0
"Bradypus_variegatus"	101.375	27.7083333333333	2	0
"Bradypus_variegatus"	89.7083333333333	55.375	2	0
"Bradypus_variegatus"	10.2083333333333	56.7916666666667	2	0
"Bradypus_variegatus"	119.958333333333	33.625	2	0
"Bradypus_variegatus"	97.7083333333333	57.0416666666667	2	0
"Bradypus_variegatus"	130.708333333333	31.125	2	0
"Bradypus_variegatus"	-111.458333333333	43.7916666666667	2	0
"Bradypus_variegatus"	154.041666666667	60.875	2	0
"Bradypus_variegatus"	103.625	39.125	2	0
"Bradypus_variegatus"	-75.5416666666667	-11.7083333333333	2	0
"Bradypus_variegatus"	-43.9583333333333	62.2083333333333	2	0
"Bradypus_variegatus"	143.625	66.0416666666667	2	0
"Bradypus_variegatus"	93.7083333333333	56.2916666666667	2	0
"Bradypus_variegatus"	43.9583333333333	17.125	2	0
"Bradypus_variegatus"	-51.2083333333333	-17.7916666666667	2	0
"Bradypus_variegatus"	-7.125	29.125	2	0
"Bradypus_variegatus"	57.9583333333333	56.125	2	0
"Bradypus_variegatus"	135.208333333333	48.2083333333333	2	0
"Bradypus_variegatus"	-112.625	77.4583333333333	2	0
"Bradypus_variegatus"	146.958333333333	60.625	2	0
"Bradypus_variegatus"	164.125	66.875	2	0
"Bradypus_variegatus"	-54.375	73.9583333333333	2	0
"Bradypus_variegatus"	-55.4583333333333	-14.2916666666667	2	0
"Bradypus_variegatus"	106.125	50.375	2	0
"Bradypus_variegatus"	-97.375	31.7916666666667	2	0
"Bradypus_variegatus"	63.0416666666667	66.375	2	0
"Bradypus_variegatus"	153.125	67.5416666666667	2	0
"Bradypus_variegatus"	-96.0416666666667	17.2916666666667	2	0
"Bradypus_variegatus"	127.208333333333	38.5416666666667	2	0
"Bradypus_variegatus"	9.29166666666666	33.4583333333333	2	0
"Bradypus_variegatus"	93.7916666666666	32.875	2	0
"Bradypus_variegatus"	118.958333333333	67.4583333333333	2	0
"Bradypus_variegatus"	-70.7916666666667	-27.5416666666667	2	0
"Bradypus_variegatus"	141.791666666667	-33.7916666666667	2	0
"Bradypus_variegatus"	-39.200282	-17.423446	2	1
"Bradypus_variegatus"	-79.63962	0.578047	2	1
"Bradypus_variegatus"	-66.050777	-11.031658	2	1
"Bradypus_variegatus"	-79.543405	9.554406	2	1
"Bradypus_variegatus"	-79.267821	0.11874	2	1
"Bradypus_variegatus"	-75.807059	4.74411	2	1
"Bradypus_variegatus"	-83.453715	9.981545	2	1
"Bradypus_variegatus"	-79.590772	8.90252	2	1
"Bradypus_variegatus"	-83.62304	8.828372	2	1
"Bradypus_variegatus"	-42.773567	-22.45336	2	1
"Bradypus_variegatus"	-82.211227	8.790019	2	1
"Bradypus_variegatus"	-82.236598	8.865922	2	1
"Bradypus_variegatus"	-76.45913	-0.472253	2	1
"Bradypus_variegatus"	-77.669361	-1.033012	2	1
"Bradypus_variegatus"	-40.31483	-20.330934	2	1
"Bradypus_variegatus"	-75.42972	10.354817	2	1
"Bradypus_variegatus"	-84.78693	10.409754	2	1
"Bradypus_variegatus"	-83.920622	10.182591	2	1
"Bradypus_variegatus"	-83.603089	8.6988	2	1
"Bradypus_variegatus"	-84.968529	10.712353	2	1
"Bradypus_variegatus"	-75.635362	8.30337	2	1
"Bradypus_variegatus"	-76.179379	-0.031617	2	1
"Bradypus_variegatus"	-79.408493	9.215932	2	1
"Bradypus_variegatus"	-35.764118	-9.609689	2	1
"Bradypus_variegatus"	-82.819569	9.722904	2	1
"Bradypus_variegatus"	-82.382768	9.287786	2	1
"Bradypus_variegatus"	-80.782127	8.537981	2	1
"Bradypus_variegatus"	-43.272642	-22.479293	2	1
"Bradypus_variegatus"	-84.037893	10.473364	2	1
"Bradypus_variegatus"	-67.870938	-9.961025	2	1
"Bradypus_variegatus"	-84.10685	10.368847	2	1
"Bradypus_variegatus"	-84.592636	9.831946	2	1
"Bradypus_variegatus"	-72.917518	-3.257878	2	1
"Bradypus_variegatus"	-76.436883	-0.509705	2	1
"Bradypus_variegatus"	-80.070854	8.643978	2	1
"Bradypus_variegatus"	-73.405397	-4.390895	2	1
"Bradypus_variegatus"	-82.773331	9.658055	2	1
"Bradypus_variegatus"	-83.859243	9.252496	2	1
"Bradypus_variegatus"	-83.026894	10.035266	2	1
"Bradypus_variegatus"	-75.325143	10.489651	2	1
"Bradypus_variegatus"	-77.309	-0.690885	2	1
"Bradypus_variegatus"	-75.033276	9.120725	2	1
"Bradypus_variegatus"	-79.188	0.60981	2	1
"Bradypus_variegatus"	-66.811742	10.507327	2	1
"Bradypus_variegatus"	-77.0416666666667	1.625	2	0
"Bradypus_variegatus"	-81.2083333333333	51.5416666666667	2	0
"Bradypus_variegatus"	57.125	31.875	2	0
"Bradypus_variegatus"	28.7083333333333	45.125	2	0
"Bradypus_variegatus"	111.791666666667	22.0416666666667	2	0
"Bradypus_variegatus"	-70.9583333333333	70.125	2	0
"Bradypus_variegatus"	-1.20833333333334	25.125	2	0
"Bradypus_variegatus"	11.5416666666667	28.125	2	0
"Bradypus_variegatus"	-111.041666666667	72.2083333333333	2	0
"Bradypus_variegatus"	172.375	68.2916666666667	2	0
"Bradypus_variegatus"	101.375	27.7083333333333	2	0
"Bradypus_variegatus"	89.7083333333333	55.375	2	0
"Bradypus_variegatus"	10.2083333333333	56.7916666666667	2	0
"Bradypus_variegatus"	119.958333333333	33.625	2	0
"Bradypus_variegatus"	97.7083333333333	57.0416666666667	2	0
"Bradypus_variegatus"	130.708333333333	31.125	2	0
"Bradypus_variegatus"	-111.458333333333	43.7916666666667	2	0
"Bradypus_variegatus"	154.041666666667	60.875	2	0
"Bradypus_variegatus"	103.625	39.125	2	0
"Bradypus_variegatus"	-75.5416666666667	-11.7083333333333	2	0
"Bradypus_variegatus"	-43.9583333333333	62.2083333333333	2	0
"Bradypus_variegatus"	143.625	66.0416666666667	2	0
"Bradypus_variegatus"	93.7083333333333	56.2916666666667	2	0
"Bradypus_variegatus"	43.9583333333333	17.125	2	0
"Bradypus_variegatus"	-51.2083333333333	-17.7916666666667	2	0
"Bradypus_variegatus"	-7.125	29.125	2	0
"Bradypus_variegatus"	57.9583333333333	56.125	2	0
"Bradypus_variegatus"	135.208333333333	48.2083333333333	2	0
"Bradypus_variegatus"	-112.625	77.4583333333333	2	0
"Bradypus_variegatus"	146.958333333333	60.625	2	0
"Bradypus_variegatus"	164.125	66.875	2	0
"Bradypus_variegatus"	-54.375	73.9583333333333	2	0
"Bradypus_variegatus"	-55.4583333333333	-14.2916666666667	2	0
"Bradypus_variegatus"	106.125	50.375	2	0
"Bradypus_variegatus"	-97.375	31.7916666666667	2	0
"Bradypus_variegatus"	63.0416666666667	66.375	2	0
"Bradypus_variegatus"	153.125	67.5416666666667	2	0
"Bradypus_variegatus"	-96.0416666666667	17.2916666666667	2	0
"Bradypus_variegatus"	127.208333333333	38.5416666666667	2	0
"Bradypus_variegatus"	9.29166666666666	33.4583333333333	2	0
"Bradypus_variegatus"	93.7916666666666	32.875	2	0
"Bradypus_variegatus"	118.958333333333	67.4583333333333	2	0
"Bradypus_variegatus"	-70.7916666666667	-27.5416666666667	2	0
"Bradypus_variegatus"	141.791666666667	-33.7916666666667	2	0
"Bradypus_variegatus"	-77.063826	-0.426305	2	1
"Bradypus_variegatus"	-54.60534	-2.503619	2	1
"Bradypus_variegatus"	-75.197235	9.867846	2	1
"Bradypus_variegatus"	-83.78566	10.184399	2	1
"Bradypus_variegatus"	-66.897434	10.535738	2	1
"Bradypus_variegatus"	-83.958943	10.150512	2	1
"Bradypus_variegatus"	-79.744906	8.890086	2	1
"Bradypus_variegatus"	-73.089345	7.067848	2	1
"Bradypus_variegatus"	-77.373965	6.298074	2	1
"Bradypus_variegatus"	-73.713231	6.822317	2	1
"Bradypus_variegatus"	-79.551018	9.002765	2	1
"Bradypus_variegatus"	-72.543301	-7.728313	2	1
"Bradypus_variegatus"	-60.234984	-3.082886	2	1
"Bradypus_variegatus"	-67.05128	10.326909	2	1
"Bradypus_variegatus"	-75.679422	9.404172	2	1
"Bradypus_variegatus"	-79.835091	9.344544	2	1
"Bradypus_variegatus"	-64.903915	-14.834561	2	1
"Bradypus_variegatus"	-83.511779	10.502237	2	1
"Bradypus_variegatus"	-59.850202	-2.724677	2	1
"Bradypus_variegatus"	-79.546808	8.984717	2	1
"Bradypus_variegatus"	-44.770865	-23.211431	2	1
"Bradypus_variegatus"	-43.46687	-22.782587	2	1
"Bradypus_variegatus"	-86.834167	14.452016	2	1
"Bradypus_variegatus"	-77.395658	-1.232799	2	1
"Bradypus_variegatus"	-83.097703	8.436447	2	1
"Bradypus_variegatus"	-34.87508	-7.914991	2	1
"Bradypus_variegatus"	-84.839895	10.500657	2	1
"Bradypus_variegatus"	-63.189628	-17.789505	2	1
"Bradypus_variegatus"	-75.481328	8.631476	2	1
"Bradypus_variegatus"	-74.592238	-8.34364	2	1
"Bradypus_variegatus"	-86.055908	13.241951	2	1
"Bradypus_variegatus"	-83.033028	9.792723	2	1
"Bradypus_variegatus"	-73.910144	11.288955	2	1
"Bradypus_variegatus"	-77.010222	-0.394998	2	1
"Bradypus_variegatus"	-83.504845	9.003522	2	1
"Bradypus_variegatus"	-82.864062	9.429254	2	1
"Bradypus_variegatus"	-77.871638	8.153447	2	1
"Bradypus_variegatus"	-77.516615	7.620419	2	1
"Bradypus_variegatus"	-63.319666	-17.978131	2	1
"Bradypus_variegatus"	-73.84056	7.771867	2	1
"Bradypus_variegatus"	-76.149058	9.024172	2	1
"Bradypus_variegatus"	-76.870886	-0.287885	2	1
"Bradypus_variegatus"	-79.725459	-3.461541	2	1
"Bradypus_variegatus"	-35.9116	-9.609222	2	1
"Bradypus_variegatus"	-77.0416666666667	1.625	2	0
"Bradypus_variegatus"	-81.2083333333333	51.5416666666667	2	0
"Bradypus_variegatus"	57.125	31.875	2	0
"Bradypus_variegatus"	28.7083333333333	45.125	2	0
"Bradypus_variegatus"	111.791666666667	22.0416666666667	2	0
"Bradypus_variegatus"	-70.9583333333333	70.125	2	0
"Bradypus_variegatus"	-1.20833333333334	25.125	2	0
"Bradypus_variegatus"	11.5416666666667	28.125	2	0
"Bradypus_variegatus"	-111.041666666667	72.2083333333333	2	0
"Bradypus_variegatus"	172.375	68.2916666666667	2	0
"Bradypus_variegatus"	101.375	27.7083333333333	2	0
"Bradypus_variegatus"	89.7083333333333	55.375	2	0
"Bradypus_variegatus"	10.2083333333333	56.7916666666667	2	0
"Bradypus_variegatus"	119.958333333333	33.625	2	0
"Bradypus_variegatus"	97.7083333333333	57.0416666666667	2	0
"Bradypus_variegatus"	130.708333333333	31.125	2	0
"Bradypus_variegatus"	-111.458333333333	43.7916666666667	2	0
"Bradypus_variegatus"	154.041666666667	60.875	2	0
"Bradypus_variegatus"	103.625	39.125	2	0
"Bradypus_variegatus"	-75.5416666666667	-11.7083333333333	2	0
"Bradypus_variegatus"	-43.9583333333333	62.2083333333333	2	0
"Bradypus_variegatus"	143.625	66.0416666666667	2	0
"Bradypus_variegatus"	93.7083333333333	56.2916666666667	2	0
"Bradypus_variegatus"	43.9583333333333	17.125	2	0
"Bradypus_variegatus"	-51.2083333333333	-17.7916666666667	2	0
"Bradypus_variegatus"	-7.125	29.125	2	0
"Bradypus_variegatus"	57.9583333333333	56.125	2	0
"Bradypus_variegatus"	135.208333333333	48.2083333333333	2	0
"Bradypus_variegatus"	-112.625	77.4583333333333	2	0
"Bradypus_variegatus"	146.958333333333	60.625	2	0
"Bradypus_variegatus"	164.125	66.875	2	0
"Bradypus_variegatus"	-54.375	73.9583333333333	2	0
"Bradypus_variegatus"	-55.4583333333333	-14.2916666666667	2	0
"Bradypus_variegatus"	106.125	50.375	2	0
"Bradypus_variegatus"	-97.375	31.7916666666667	2	0
"Bradypus_variegatus"	63.0416666666667	66.375	2	0
"Bradypus_variegatus"	153.125	67.5416666666667	2	0
"Bradypus_variegatus"	-96.0416666666667	17.2916666666667	2	0
"Bradypus_variegatus"	127.208333333333	38.5416666666667	2	0
"Bradypus_variegatus"	9.29166666666666	33.4583333333333	2	0
"Bradypus_variegatus"	93.7916666666666	32.875	2	0
"Bradypus_variegatus"	118.958333333333	67.4583333333333	2	0
"Bradypus_variegatus"	-70.7916666666667	-27.5416666666667	2	0
"Bradypus_variegatus"	141.791666666667	-33.7916666666667	2	0
"Bradypus_variegatus"	-66.839152	10.494155	2	1
"Bradypus_variegatus"	-83.664421	8.642761	2	1
"Bradypus_variegatus"	-82.713527	9.639746	2	1
"Bradypus_variegatus"	-84.599655	10.47123	2	1
"Bradypus_variegatus"	-44.720428	-23.220022	2	1
"Bradypus_variegatus"	-73.58325	8.466687	2	1
"Bradypus_variegatus"	-84.70037	10.50425	2	1
"Bradypus_variegatus"	-78.539342	8.822741	2	1
"Bradypus_variegatus"	-82.325084	9.40532	2	1
"Bradypus_variegatus"	-73.33031	7.150594	2	1
"Bradypus_variegatus"	-74.76917	5.671	2	1
"Bradypus_variegatus"	-75.540111	7.922564	2	1
"Bradypus_variegatus"	-77.242936	-0.563401	2	1
"Bradypus_variegatus"	-34.986671	-8.021379	2	1
"Bradypus_variegatus"	-85.046626	10.992381	2	1
"Bradypus_variegatus"	-43.199864	-22.947558	2	1
"Bradypus_variegatus"	-78.892044	0.025173	2	1
"Bradypus_variegatus"	-76.922186	0.124508	2	1
"Bradypus_variegatus"	-84.728971	10.484371	2	1
"Bradypus_variegatus"	-35.742144	-9.614132	2	1
"Bradypus_variegatus"	-82.571114	9.539036	2	1
"Bradypus_variegatus"	-83.655256	9.894646	2	1
"Bradypus_variegatus"	-83.630822	8.84365	2	1
"Bradypus_variegatus"	-60.451617	-3.087518	2	1
"Bradypus_variegatus"	-67.809819	-9.973852	2	1
"Bradypus_variegatus"	-64.961796	-14.788236	2	1
"Bradypus_variegatus"	-76.968687	-0.332299	2	1
"Bradypus_variegatus"	-83.116508	9.9762	2	1
"Bradypus_variegatus"	-75.547963	10.422404	2	1
"Bradypus_variegatus"	-63.18716	-18.119742	2	1
"Bradypus_variegatus"	-79.908105	9.192116	2	1
"Bradypus_variegatus"	-43.3055	-22.986724	2	1
"Bradypus_variegatus"	-82.313362	9.150797	2	1
"Bradypus_variegatus"	-83.953178	10.334077	2	1
"Bradypus_variegatus"	-83.308849	8.69203	2	1
"Bradypus_variegatus"	-60.687345	-3.244328	2	1
"Bradypus_variegatus"	-78.212862	8.763631	2	1
"Bradypus_variegatus"	-34.867424	-7.919148	2	1
"Bradypus_variegatus"	-35.00421	-7.967126	2	1
"Bradypus_variegatus"	-50.060353	-6.061336	2	1
"Bradypus_variegatus"	-79.748244	-0.301144	2	1
"Bradypus_variegatus"	-43.404072	-21.80648	2	1
"Bradypus_variegatus"	-60.266944	-3.224205	2	1
"Bradypus_variegatus"	-49.913112	-5.912677	2	1
"Bradypus_variegatus"	-77.0416666666667	1.625	2	0
"Bradypus_variegatus"	-81.2083333333333	51.5416666666667	2	0
"Bradypus_variegatus"	57.125	31.875	2	0
"Bradypus_variegatus"	28.7083333333333	45.125	2	0
"Bradypus_variegatus"	111.791666666667	22.0416666666667	2	0
"Bradypus_variegatus"	-70.9583333333333	70.125	2	0
"Bradypus_variegatus"	-1.20833333333334	25.125	2	0
"Bradypus_variegatus"	11.5416666666667	28.125	2	0
"Bradypus_variegatus"	-111.041666666667	72.2083333333333	2	0
"Bradypus_variegatus"	172.375	68.2916666666667	2	0
"Bradypus_variegatus"	101.375	27.7083333333333	2	0
"Bradypus_variegatus"	89.7083333333333	55.375	2	0
"Bradypus_variegatus"	10.2083333333333	56.7916666666667	2	0
"Bradypus_variegatus"	119.958333333333	33.625	2	0
"Bradypus_variegatus"	97.7083333333333	57.0416666666667	2	0
"Bradypus_variegatus"	130.708333333333	31.125	2	0
"Bradypus_variegatus"	-111.458333333333	43.7916666666667	2	0
"Bradypus_variegatus"	154.041666666667	60.875	2	0
"Bradypus_variegatus"	103.625	39.125	2	0
"Bradypus_variegatus"	-75.5416666666667	-11.7083333333333	2	0
"Bradypus_variegatus"	-43.9583333333333	62.2083333333333	2	0
"Bradypus_variegatus"	143.625	66.0416666666667	2	0
"Bradypus_variegatus"	93.7083333333333	56.2916666666667	2	0
"Bradypus_variegatus"	43.9583333333333	17.125	2	0
"Bradypus_variegatus"	-51.2083333333333	-17.7916666666667	2	0
"Bradypus_variegatus"	-7.125	29.125	2	0
"Bradypus_variegatus"	57.9583333333333	56.125	2	0
"Bradypus_variegatus"	135.208333333333	48.2083333333333	2	0
"Bradypus_variegatus"	-112.625	77.4583333333333	2	0
"Bradypus_variegatus"	146.958333333333	60.625	2	0
"Bradypus_variegatus"	164.125	66.875	2	0
"Bradypus_variegatus"	-54.375	73.9583333333333	2	0
"Bradypus_variegatus"	-55.4583333333333	-14.2916666666667	2	0
"Bradypus_variegatus"	106.125	50.375	2	0
"Bradypus_variegatus"	-97.375	31.7916666666667	2	0
"Bradypus_variegatus"	63.0416666666667	66.375	2	0
"Bradypus_variegatus"	153.125	67.5416666666667	2	0
"Bradypus_variegatus"	-96.0416666666667	17.2916666666667	2	0
"Bradypus_variegatus"	127.208333333333	38.5416666666667	2	0
"Bradypus_variegatus"	9.29166666666666	33.4583333333333	2	0
"Bradypus_variegatus"	93.7916666666666	32.875	2	0
"Bradypus_variegatus"	118.958333333333	67.4583333333333	2	0
"Bradypus_variegatus"	-70.7916666666667	-27.5416666666667	2	0
"Bradypus_variegatus"	141.791666666667	-33.7916666666667	2	0
