ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
713,0,107,26.200000762939453,9,4.070000171661377,12.859999656677246,-71.54166666666663,-2.208333333333314
714,0,276,25,12.899999618530273,11.270000457763672,11.680000305175781,-58.041666666666636,-10.125
715,0,435,24.700000762939453,11.5,6.340000152587891,12.609999656677246,-71.04166666666663,-11.125
716,0,163,25.700000762939453,10.300000190734863,6.389999866485596,12.420000076293945,-70.875,-6.29166666666665
717,0,261,23.5,13,10.649999618530273,12,-61.625,-11.875
718,0,212,25.700000762939453,9.5,2.190000057220459,12.970000267028809,-75.625,-0.625
719,0,712,23.5,12.600000381469727,12.329999923706055,11.819999694824219,-45.041666666666636,-13.541666666666654
720,0,172,25.899999618530273,9.699999809265137,3.859999895095825,13.170000076293945,-74.7083333333333,-2.375
721,0,316,25.100000381469727,12.399999618530273,15.890000343322754,11.100000381469727,-54.375,-18.20833333333333
722,0,244,26.899999618530273,12,11.050000190734863,12,-49.2083333333333,-10.458333333333318
723,0,64,24.100000381469727,9.5,14.630000114440918,12.220000267028809,-40.2083333333333,-19.375
724,0,234,26.700000762939453,10.899999618530273,16.290000915527344,11.199999809265137,-43.875,-6.04166666666665
725,0,2181,15.800000190734863,9.399999618530273,214.22000122070312,7.170000076293945,-77.4583333333333,2.375
726,0,167,26.399999618530273,11.600000381469727,2.990000009536743,13.149999618530273,-74.9583333333333,-8.375
727,0,111,25.899999618530273,10.800000190734863,3.119999885559082,12.90999984741211,-67.04166666666663,-7.875
728,0,116,26.700000762939453,10.199999809265137,2.4100000858306885,13.329999923706055,-74.54166666666663,-4.79166666666665
729,0,249,22.399999618530273,12.399999618530273,37.09000015258789,10.399999618530273,-42.125,-21.125
730,0,69,26.299999237060547,10.199999809265137,2.700000047683716,12.829999923706055,-62.2083333333333,-7.29166666666665
731,0,146,25.799999237060547,11,7.210000038146973,12.479999542236328,-66.9583333333333,-8.79166666666665
732,0,73,25.700000762939453,9.300000190734863,4.059999942779541,12.600000381469727,-69.2083333333333,-3.541666666666647
733,0,84,25.5,9.399999618530273,2.75,13.15999984741211,-66.4583333333333,-2.708333333333314
734,0,352,26.200000762939453,12.100000381469727,18.020000457763672,11.100000381469727,-48.7083333333333,-9.958333333333318
735,0,2528,13.699999809265137,8.5,121.08999633789062,7.900000095367432,-75.2083333333333,2.458333333333357
736,0,231,26.299999237060547,8.699999809265137,17.670000076293945,11.279999732971191,-72.625,-0.208333333333311
737,0,818,23.600000381469727,14.600000381469727,17.34000015258789,11.289999961853027,-48.2083333333333,-17.70833333333333
738,0,656,24.299999237060547,11,86.25,8.65999984741211,-66.625,6.208333333333361
739,0,874,21.799999237060547,10.300000190734863,51.38999938964844,10.0600004196167,-39.125,-7.458333333333318
740,0,2276,14.800000190734863,7.5,175.50999450683594,7.429999828338623,-74.79166666666663,3.125
741,0,758,23.200000762939453,14.5,16.3700008392334,12.609999656677246,-45.375,-10.625
742,0,224,24.200000762939453,10.5,10.079999923706055,12.220000267028809,-56.375,-15.291666666666657
743,0,54,26.399999618530273,9.399999618530273,4.5,12.6899995803833,-46.625,-1.958333333333314
744,0,48,27.200000762939453,9.5,7.769999980926514,12.489999771118164,-61.125,-0.125
745,0,124,26.200000762939453,11.699999809265137,1.8899999856948853,14.020000457763672,-56.291666666666636,-17.125
746,0,764,21.200000762939453,12.699999809265137,40.34000015258789,10.010000228881836,-42.4583333333333,-16.208333333333325
747,0,119,26,10.5,3.4800000190734863,12.9399995803833,-66.125,-7.875
748,0,343,22.799999237060547,12.899999618530273,13.270000457763672,11.550000190734863,-60.541666666666636,-11.791666666666654
749,0,8,27.100000381469727,7.900000095367432,2.9200000762939453,13,-49.7083333333333,-0.458333333333313
750,0,224,26.299999237060547,10.899999618530273,6.739999771118164,12.399999618530273,-74.2083333333333,-6.875
751,0,73,25.799999237060547,8.899999618530273,4.739999771118164,12.510000228881836,-69.2083333333333,-1.708333333333314
752,0,254,26,10.800000190734863,27.81999969482422,10.4399995803833,-45.625,-4.79166666666665
753,0,224,25.200000762939453,12.800000190734863,9.869999885559082,11.819999694824219,-58.2083333333333,-9.958333333333318
754,0,551,24.299999237060547,10.199999809265137,31.760000228881836,10.720000267028809,-65.54166666666663,0.958333333333355
